Customer Number,Shipper,Location,Effective Date,Label Type,Product,Weight,Zone,Cost,Rate Type
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,96,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,112,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,128,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,144,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,160,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,176,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,176,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,176,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,176,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,176,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,176,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,176,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,176,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,176,9,,R
