Custom Setup ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
Customer,Piccard Pet Supplies,,,Avg Weekly Volume,,,,,,,Product Mapping for Forge,,,,,,Rates,,,,,,,,,,,Best Rate using lowest Cost,,,,,,,,,,,,Forge to Forge Price Transfer,,,,,,,,,,,,,,,,,,,,
# of Darwin Accounts,,,,Priority,EXP Plus,Expedited,Ground,,,,Priority,EXP Plus,Expedited,Ground,,UID,Call type,Shipper Code,Weight ,Zone,FMD,Costs,Base,Mapping Rate,Active Rates,Carrier Status,,Call Type,Carrier,Weight ,Zone,Mapping ,Active,Volume,Active Costs,USPS,Tech Fee,UID,,Effective Date,Customer ID,Shipper,Location,Label Type,Product,Weight,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,M
,,,,,,,,,,,,,,,,ExpeditedDHL-X8&3,Expedited,DHL-X,8,3,0.13457076566125292,3.7299999999999995,4.31,,,Yes,,Expedited,,8,3,,,0,,,,Expedited83,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X9&3,Expedited,DHL-X,9,3,0.20550000000000002,3.9724999999999997,5,,,Yes,,Expedited,,9,3,,,0,,,,Expedited93,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X10&3,Expedited,DHL-X,10,3,0.20100000000000007,3.9949999999999997,5,,,Yes,,Expedited,,10,3,,,0,,,,Expedited103,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X11&3,Expedited,DHL-X,11,3,0.1965,4.0175,5,,,Yes,,Expedited,,11,3,,,0,,,,Expedited113,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X12&3,Expedited,DHL-X,12,3,0.18799999999999994,4.0600000000000005,5,,,Yes,,Expedited,,12,3,,,0,,,,Expedited123,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X13&3,Expedited,DHL-X,13,3,0.30924170616113755,4.3725,6.33,,,Yes,,Expedited,,13,3,,,0,,,,Expedited133,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X14&3,Expedited,DHL-X,14,3,0.3056872037914691,4.3950000000000005,6.33,,,Yes,,Expedited,,14,3,,,0,,,,Expedited143,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X15&3,Expedited,DHL-X,15,3,0.30055292259083743,4.427499999999999,6.33,,,Yes,,Expedited,,15,3,,,0,,,,Expedited153,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X15.99&3,Expedited,DHL-X,15.99,3,0.2938428120063191,4.469975,6.33,,,Yes,,Expedited,,15.99,3,,,0,,,,Expedited15.993,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X16&3,Expedited,DHL-X,16,3,0.3361945636623749,4.64,6.99,,,Yes,,Expedited,,16,3,,,0,,,,Expedited163,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X32&3,Expedited,DHL-X,32,3,0.2771883289124668,5.45,7.54,,,Yes,,Expedited,,32,3,,,0,,,,Expedited323,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X48&3,Expedited,DHL-X,48,3,0.2536764705882353,6.09,8.16,,,Yes,,Expedited,,48,3,,,0,,,,Expedited483,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X64&3,Expedited,DHL-X,64,3,0.2371495327102804,6.53,8.56,,,Yes,,Expedited,,64,3,,,0,,,,Expedited643,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X80&3,Expedited,DHL-X,80,3,0.2072072072072073,7.04,8.88,,,Yes,,Expedited,,80,3,,,0,,,,Expedited803,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X96&3,Expedited,DHL-X,96,3,0.2116564417177914,7.71,9.78,,,Yes,,Expedited,,96,3,,,0,,,,Expedited963,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X112&3,Expedited,DHL-X,112,3,0.21121495327102824,8.439999999999998,10.7,,,Yes,,Expedited,,112,3,,,0,,,,Expedited1123,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X128&3,Expedited,DHL-X,128,3,0.21434820647419084,8.979999999999999,11.43,,,Yes,,Expedited,,128,3,,,0,,,,Expedited1283,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X144&3,Expedited,DHL-X,144,3,0.2161716171617163,9.499999999999998,12.12,,,Yes,,Expedited,,144,3,,,0,,,,Expedited1443,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X160&3,Expedited,DHL-X,160,3,0.21722265321955003,10.09,12.89,,,Yes,,Expedited,,160,3,,,0,,,,Expedited1603,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X176&3,Expedited,DHL-X,176,3,0.21764705882352953,10.639999999999999,13.6,,,Yes,,Expedited,,176,3,,,0,,,,Expedited1763,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X192&3,Expedited,DHL-X,192,3,0.21896792189679226,11.2,14.34,,,Yes,,Expedited,,192,3,,,0,,,,Expedited1923,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X208&3,Expedited,DHL-X,208,3,0.22163238221632398,11.729999999999999,15.07,,,Yes,,Expedited,,208,3,,,0,,,,Expedited2083,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X224&3,Expedited,DHL-X,224,3,0.22257450856055805,12.26,15.77,,,Yes,,Expedited,,224,3,,,0,,,,Expedited2243,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X240&3,Expedited,DHL-X,240,3,0.22396146899458158,12.889999999999999,16.61,,,Yes,,Expedited,,240,3,,,0,,,,Expedited2403,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X256&3,Expedited,DHL-X,256,3,0.22286042504307868,13.53,17.41,,,Yes,,Expedited,,256,3,,,0,,,,Expedited2563,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X272&3,Expedited,DHL-X,272,3,0.2219792236194642,14.229999999999999,18.29,,,Yes,,Expedited,,272,3,,,0,,,,Expedited2723,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X288&3,Expedited,DHL-X,288,3,0.2226296490309062,14.84,19.09,,,Yes,,Expedited,,288,3,,,0,,,,Expedited2883,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X304&3,Expedited,DHL-X,304,3,0.22266800401203624,15.499999999999998,19.94,,,Yes,,Expedited,,304,3,,,0,,,,Expedited3043,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X320&3,Expedited,DHL-X,320,3,0.22324455205811133,16.04,20.65,,,Yes,,Expedited,,320,3,,,0,,,,Expedited3203,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X336&3,Expedited,DHL-X,336,3,0.22910798122065723,16.42,21.3,,,Yes,,Expedited,,336,3,,,0,,,,Expedited3363,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X352&3,Expedited,DHL-X,352,3,0.22923286427598732,16.98,22.03,,,Yes,,Expedited,,352,3,,,0,,,,Expedited3523,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X368&3,Expedited,DHL-X,368,3,0.2282321899736145,17.550000000000004,22.74,,,Yes,,Expedited,,368,3,,,0,,,,Expedited3683,,,,,,,,,,,,,,,,,,,,,,
