CY Base,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,PY Base,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,YoY Change,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
Expedited1&368,Expedited,1,368,17.92,19.31,20.78,22.79,28.34,35.92,43.35,48.56,,Expedited1&368,Expedited,1,368,17.1,18.38,19.85,21.97,27.29,34.41,41.41,46.51,,0.04795321637426908,0.05059847660500538,0.04685138539042821,0.03732362312243964,0.0384756320996702,0.04388259226968927,0.04684858729775421,0.04407654267899397
Expedited1&384,Expedited,1,384,19.53,21.08,23.05,26.36,33.24,42.56,51.04,57.33,,Expedited1&384,Expedited,1,384,18.38,19.76,21.53,24.49,30.7,39.74,47.62,53.48,,0.06256800870511436,0.06680161943319818,0.07059916395726895,0.07635769701919148,0.08273615635179166,0.07096124811273286,0.0718185636287274,0.07198952879581144
Expedited1&400,Expedited,1,400,21.1,22.99,25.63,30.52,39.07,48.34,57.24,65.0,,Expedited1&400,Expedited,1,400,19.76,21.24,23.36,27.31,34.54,45.9,54.76,61.51,,0.06781376518218618,0.08239171374764598,0.09717465753424648,0.11753936287074329,0.13115228720324268,0.05315904139433569,0.04528853177501824,0.0567387416680214
Expedited1&416,Expedited,1,416,21.89,23.94,26.92,32.59,41.99,51.23,60.34,68.83,,Expedited1&416,Expedited,1,416,22.59,24.28,27.79,35.48,45.76,57.74,67.83,77.39,,-0.030987162461265982,-0.014003294892915963,-0.03130622526088511,-0.08145434047350597,-0.08238636363636354,-0.11274679598198833,-0.11042311661506699,-0.11060860576301845
Expedited1&432,Expedited,1,432,22.68,24.89,28.21,34.67,44.9,54.13,63.44,72.67,,Expedited1&432,Expedited,1,432,23.96,25.76,29.07,37.67,49.93,58.54,69.55,80.27,,-0.05342237061769617,-0.033773291925465854,-0.02958376332989332,-0.07963897000265463,-0.10074103745243346,-0.07533310556884176,-0.08785046728971957,-0.09468045346954024
Expedited1&448,Expedited,1,448,23.31,25.62,29.07,35.73,46.39,55.98,65.65,75.22,,Expedited1&448,Expedited,1,448,24.71,26.56,29.46,38.76,51.25,59.36,71.22,83.48,,-0.056657223796034106,-0.035391566265060126,-0.013238289205702691,-0.07817337461300311,-0.0948292682926829,-0.056940700808625344,-0.07820836843583256,-0.09894585529468136
Expedited1&464,Expedited,1,464,23.93,26.33,29.92,36.77,47.87,57.8,67.82,77.74,,Expedited1&464,Expedited,1,464,25.48,27.39,29.77,39.82,51.94,60.38,72.9,85.84,,-0.06083202511773944,-0.038700255567725494,0.005038629492778002,-0.07659467604218984,-0.07835964574509047,-0.0427293805895993,-0.06968449931412912,-0.09436160298229268
Expedited1&480,Expedited,1,480,24.55,27.03,30.76,37.8,49.33,59.61,69.97,80.23,,Expedited1&480,Expedited,1,480,26.25,28.22,30.21,40.76,52.66,62.11,74.55,87.68,,-0.06476190476190469,-0.04216867469879515,0.01820589208871226,-0.07262021589793921,-0.06323585263957465,-0.04025116728385125,-0.061435278336686716,-0.08496806569343063
Expedited1&496,Expedited,1,496,25.16,27.73,31.58,38.81,50.76,61.39,72.1,82.7,,Expedited1&496,Expedited,1,496,27.01,29.04,30.51,41.41,53.34,63.03,76.24,89.72,,-0.06849315068493156,-0.045110192837465535,0.03507046869878727,-0.06278676648152604,-0.04836895388076501,-0.026019355862287763,-0.05430220356768101,-0.07824342398573336
Expedited1&512,Expedited,1,512,25.77,28.42,32.39,39.8,52.18,63.15,74.2,85.14,,Expedited1&512,Expedited,1,512,27.32,29.37,31.17,42.11,53.97,63.87,77.93,91.35,,-0.05673499267935578,-0.032345931222335644,0.0391401989092075,-0.05485632866302548,-0.033166574022605144,-0.011272898074213278,-0.047863467214166566,-0.06798029556650242
Expedited1&528,Expedited,1,528,26.37,29.1,33.19,40.78,53.58,64.89,76.28,87.56,,Expedited1&528,Expedited,1,528,27.75,29.83,32.05,43.17,54.69,65.14,79.58,93.24,,-0.049729729729729666,-0.024472008045591576,0.035569422776911,-0.05536252026870514,-0.020296215030170095,-0.0038378876266502715,-0.04146770545363154,-0.060918060918060846
Expedited1&544,Expedited,1,544,26.96,29.77,33.97,41.74,54.97,66.61,78.33,89.95,,Expedited1&544,Expedited,1,544,28.01,30.11,32.9,44.28,55.89,66.73,81.26,95.08,,-0.037486611924312796,-0.011291929591497829,0.032522796352583594,-0.057362240289069555,-0.016460905349794275,-0.0017982916229583035,-0.036057100664533714,-0.05395456457719805
Expedited1&560,Expedited,1,560,27.55,30.43,34.74,42.69,56.33,68.3,80.36,92.31,,Expedited1&560,Expedited,1,560,28.33,30.45,33.68,44.92,57.09,68.55,82.93,96.55,,-0.027532650900105815,-0.0006568144499178308,0.03147268408551085,-0.049643811219946654,-0.013312313890348704,-0.00364697301239969,-0.03098999155914639,-0.0439150699119627
Expedited1&576,Expedited,1,576,28.14,31.08,35.5,43.62,57.67,69.97,82.36,94.65,,Expedited1&576,Expedited,1,576,28.69,30.84,34.68,45.52,58.34,70.32,84.08,98.28,,-0.01917044266294876,0.0077821011673151474,0.023644752018454396,-0.04173989455184546,-0.01148440178265342,-0.00497724687144474,-0.020456707897240745,-0.036935286935286915
Expedited1&592,Expedited,1,592,28.71,31.73,36.25,44.54,59.0,71.62,84.34,96.96,,Expedited1&592,Expedited,1,592,28.99,31.16,35.33,46.18,59.39,72.2,85.19,99.96,,-0.009658502932045399,0.018292682926829285,0.026040192470987877,-0.035513209181463834,-0.006566762081158473,-0.008033240997229907,-0.009977696912783163,-0.03001200480192079
Expedited1&608,Expedited,1,608,29.28,32.36,36.98,45.44,60.3,73.25,86.29,99.24,,Expedited1&608,Expedited,1,608,29.28,31.48,36.2,46.77,60.59,74.25,86.18,101.64,,0.0,0.027954256670902122,0.021546961325966674,-0.028437032285653308,-0.004786268361115842,-0.013468013468013518,0.0012763982362498094,-0.023612750885478206
Expedited1&624,Expedited,1,624,29.85,32.99,37.7,46.32,61.59,74.86,88.21,101.5,,Expedited1&624,Expedited,1,624,29.57,31.79,37.07,47.31,61.86,76.04,88.52,103.22,,0.009469056476158366,0.037747719408619096,0.016994874561640172,-0.020925808497146536,-0.004364694471386987,-0.015518148342977489,-0.0035020334387709795,-0.016663437318349184
Expedited1&640,Expedited,1,640,30.41,33.61,38.41,47.19,62.86,76.44,90.11,103.73,,Expedited1&640,Expedited,1,640,29.88,32.12,37.85,47.93,63.16,77.28,90.54,104.69,,0.017737617135207495,0.046388542963885504,0.014795244385733097,-0.015439182140621788,-0.004749841671944255,-0.010869565217391353,-0.00474928208526626,-0.009169930270321869
Expedited1&656,Expedited,1,656,30.96,34.22,39.1,48.05,64.11,78.0,91.99,105.93,,Expedited1&656,Expedited,1,656,30.21,32.48,38.49,48.45,63.72,78.61,92.52,106.37,,0.02482621648460781,0.0535714285714286,0.01584827227851382,-0.008255933952528549,0.006120527306967993,-0.007759826994021113,-0.005728491137051428,-0.004136504653567741
Expedited1&672,Expedited,1,672,31.51,34.82,39.78,48.88,65.34,79.54,93.84,108.11,,Expedited1&672,Expedited,1,672,30.44,32.72,38.79,48.88,64.81,80.02,93.81,107.73,,0.035151116951379846,0.06418092909535456,0.025522041763341052,0.0,0.008177750347168722,-0.005998500374906124,0.0003197953309881374,0.003527336860670083
Expedited1&688,Expedited,1,688,32.05,35.41,40.45,49.7,66.55,81.06,95.67,110.26,,Expedited1&688,Expedited,1,688,30.8,33.11,39.08,49.32,65.89,81.97,95.0,108.89,,0.0405844155844155,0.06946541830262754,0.03505629477993866,0.007704785077047971,0.01001669449081799,-0.01110162254483349,0.007052631578947421,0.01258150427036453
Expedited1&704,Expedited,1,704,32.59,35.99,41.1,50.51,67.74,82.55,97.47,112.38,,Expedited1&704,Expedited,1,704,31.02,33.35,39.36,49.75,66.96,83.3,96.16,110.46,,0.05061250805931672,0.07916041979010502,0.044207317073170715,0.01527638190954761,0.011648745519713177,-0.009003601440576214,0.013623128119800265,0.01738185768604028
Expedited1&720,Expedited,1,720,33.12,36.57,41.75,51.3,68.92,84.02,99.24,114.48,,Expedited1&720,Expedited,1,720,31.22,33.56,39.65,50.2,68.05,84.24,97.22,111.83,,0.0608584240871235,0.08969010727056004,0.05296343001261028,0.021912350597609542,0.012784717119765032,-0.0026115859449192813,0.02077761777412057,0.02369668246445511
Expedited1&736,Expedited,1,736,33.64,37.13,42.38,52.07,70.07,85.48,101.0,116.55,,Expedited1&736,Expedited,1,736,31.5,33.86,39.94,50.64,69.13,85.2,98.29,113.14,,0.06793650793650796,0.09657412876550509,0.06109163745618451,0.02823854660347558,0.013597569796036435,0.0032863849765258912,0.027571472174178435,0.030139649991161255
Expedited1&752,Expedited,1,752,34.16,37.69,42.99,52.83,71.21,86.9,102.72,118.59,,Expedited1&752,Expedited,1,752,31.73,34.11,40.23,51.07,70.21,86.1,99.44,114.5,,0.07658367475575156,0.10495455878041615,0.06860551826994787,0.034462502447620835,0.01424298532972501,0.009291521486643584,0.032984714400643655,0.03572052401746717
Expedited1&768,Expedited,1,768,34.67,38.24,43.6,53.57,72.33,88.31,104.42,120.61,,Expedited1&768,Expedited,1,768,32.0,34.4,40.52,51.51,71.28,87.22,100.41,115.66,,0.08343750000000005,0.1116279069767443,0.0760118460019743,0.03999223451756939,0.014730639730639705,0.012497133684934658,0.03993626132855299,0.04279785578419504
Expedited1&784,Expedited,1,784,35.18,38.78,44.19,54.3,73.43,89.69,106.1,122.6,,Expedited1&784,Expedited,1,784,32.26,34.68,40.79,51.95,72.37,88.44,101.48,116.81,,0.09051456912585243,0.1182237600922722,0.08335376317724918,0.045235803657362794,0.014646953157385623,0.01413387607417449,0.04552621206148988,0.04956767400051354
Expedited1&800,Expedited,1,800,35.68,39.31,44.77,55.01,74.51,91.05,107.75,124.56,,Expedited1&800,Expedited,1,800,32.39,34.82,41.08,52.4,73.46,89.7,102.8,118.07,,0.10157456004939802,0.12894887995404947,0.08982473222979559,0.049809160305343436,0.014293493057446316,0.015050167224080147,0.0481517509727627,0.054967392224951395
Expedited1&816,Expedited,1,816,36.17,39.84,45.33,55.7,75.57,92.39,109.37,126.5,,Expedited1&816,Expedited,1,816,32.88,35.35,41.37,52.8,74.72,90.95,104.3,119.23,,0.10006082725060828,0.12701555869872716,0.09572153734590283,0.05492424242424243,0.011375802997858564,0.01583287520615717,0.04860977948226286,0.060974586932818875
Expedited1&832,Expedited,1,832,36.66,40.35,45.88,56.38,76.61,93.71,110.97,128.41,,Expedited1&832,Expedited,1,832,33.37,35.87,41.66,53.25,75.25,91.84,105.9,120.59,,0.09859154929577474,0.12489545581265693,0.10129620739318312,0.05877934272300478,0.018073089700996636,0.020361498257839505,0.04787535410764865,0.06484783149514883
Expedited1&848,Expedited,1,848,37.14,40.86,46.42,57.04,77.63,95.0,112.55,130.3,,Expedited1&848,Expedited,1,848,34.0,36.55,41.94,53.69,75.87,92.63,107.67,122.17,,0.09235294117647053,0.11792065663474705,0.10681926561754906,0.06239523188675733,0.02319757479899809,0.025585663391989755,0.04532367418965344,0.06654661537202267
Expedited1&864,Expedited,1,864,37.62,41.35,46.95,57.69,78.64,96.28,114.1,132.15,,Expedited1&864,Expedited,1,864,34.5,37.09,42.24,54.12,76.53,93.3,109.24,123.95,,0.09043478260869553,0.11485575626853595,0.11150568181818188,0.06596452328159641,0.02757088723376455,0.03193997856377284,0.044489198095935656,0.06615570794675274
Expedited1&880,Expedited,1,880,38.09,41.84,47.46,58.32,79.62,97.53,115.63,133.99,,Expedited1&880,Expedited,1,880,35.05,37.68,42.51,54.56,77.02,94.09,111.01,125.58,,0.08673323823109857,0.11040339702760105,0.11644318983768542,0.06891495601173014,0.033757465593352576,0.03656073971729201,0.0416178722637599,0.06696926262143665
Expedited1&896,Expedited,1,896,38.56,42.32,47.96,58.94,80.59,98.75,117.13,135.79,,Expedited1&896,Expedited,1,896,35.54,38.21,42.81,55.0,77.61,94.72,112.56,126.89,,0.08497467642093426,0.10756346506150227,0.12029899556178458,0.0716363636363635,0.03839711377399824,0.04254645270270263,0.040600568585643204,0.07013949089762783
Expedited1&912,Expedited,1,912,39.02,42.79,48.45,59.54,81.54,99.96,118.6,137.57,,Expedited1&912,Expedited,1,912,36.11,38.82,43.09,55.44,78.07,95.46,113.3,127.79,,0.08058709498753824,0.10226687274600721,0.12439080993269891,0.073953823953824,0.04444729089278865,0.047140163419233216,0.04677846425419241,0.07653181000078235
